distrito,ano,acidentes_com_vitimas,vitimas_mortais,feridos_graves,feridos_leves,total_de_vitimas
Aveiro,2018,2679,41,114,3208,3363
Aveiro,2019,2815,42,135,3362,3539
Beja,2018,453,28,81,538,647
Beja,2019,468,37,68,566,671
Braga,2018,3139,38,129,3923,4090
Braga,2019,3180,45,153,3988,4186
Bragança,2018,402,12,43,462,517
Bragança,2019,412,8,48,488,544
Castelo Branco,2018,521,15,63,615,693
Castelo Branco,2019,527,14,66,628,708
Coimbra,2018,1503,32,83,1822,1937
Coimbra,2019,1624,40,79,1952,2071
Évora,2018,424,19,55,529,603
Évora,2019,444,17,71,545,633
Faro,2018,1977,44,196,2275,2515
Faro,2019,2154,44,214,2449,2707
Guarda,2018,407,23,40,483,546
Guarda,2019,433,19,58,509,586
Leiria,2018,1807,48,144,2158,2350
Leiria,2019,1822,45,123,2132,2300
Lisboa,2018,7999,88,260,9494,9842
Lisboa,2019,8232,76,337,9820,10233
Portalegre,2018,295,12,59,373,444
Portalegre,2019,303,17,52,365,434
Porto,2018,5869,79,181,7208,7468
Porto,2019,6245,79,205,7738,8022
Santarém,2018,1455,52,195,1780,2027
Santarém,2019,1612,41,211,1953,2205
Setúbal,2018,2592,74,156,3148,3378
Setúbal,2019,2605,32,159,3183,3374
Viana do Castelo,2018,840,15,45,1051,1111
Viana do Castelo,2019,859,18,53,1038,1109
Vila Real,2018,612,28,58,732,818
Vila Real,2019,654,14,46,863,923
Viseu,2018,1261,27,93,1536,1656
Viseu,2019,1315,38,90,1604,1732
Total,2018,34235,675,1995,41335,44005
Total,2019,35704,626,2168,43183,45977
