mes,ano,acidentes_com_vitimas,vitimas_mortais,feridos_graves,feridos_leves,total_de_feridos,indice_gravidade
jan,2018,2572,50,119,3101,3270,1.9
jan,2019,2832,65,138,3391,3594,2.3
fev,2018,2389,44,117,2882,3043,1.8
fev,2019,2358,48,132,2806,2986,2.0
mar,2018,2700,40,136,3286,3462,1.5
mar,2019,2859,45,184,3444,3673,1.6
abr,2018,2449,41,141,2965,3147,1.7
abr,2019,2682,40,145,3303,3488,1.5
mai,2018,2777,51,176,3325,3552,1.8
mai,2019,3097,53,195,3699,3947,1.7
jun,2018,2868,46,158,3530,3734,1.6
jun,2019,2840,45,193,3434,3672,1.6
jul,2018,2993,65,192,3580,3837,2.2
jul,2019,3254,45,201,3996,4242,1.4
ago,2018,3153,77,220,3915,4212,2.4
ago,2019,3286,71,265,4128,4464,2.2
set,2018,3117,73,226,3732,4031,2.3
set,2019,3098,63,214,3746,4023,2.0
out,2018,3296,67,182,3928,4177,2.0
out,2019,3329,51,176,3970,4197,1.5
nov,2018,2885,49,146,3422,3617,1.7
nov,2019,3071,52,163,3674,3889,1.7
dez,2018,3036,72,182,3669,3923,2.4
dez,2019,2998,48,162,3592,3802,1.6
Total,2018,34235,675,1995,41335,44005,2.0
Total,2019,35704,626,2168,43183,45977,1.8
