ano,acidentes_com_vitimas,acidentes_com_vitimas_mortais_ou_feridos_graves,vitimas_mortais,feridos_graves,feridos_leves,total_feridos,indice_gravidade
2010,35426,2832,857,2475,43890,46365,2.6
2011,32541,2670,826,2265,39695,41960,2.7
2012,29867,2289,667,1941,36164,38105,2.4
2013,30339,2202,585,1946,36807,38753,2.1
2014,30604,2331,603,2010,37005,39015,2.1
2015,31953,2374,554,2148,38808,40956,1.9
2016,32299,2215,529,1999,39106,41105,1.7
2017,34416,2408,578,2117,41776,43893,1.7
2018,34235,2355,628,1995,41335,43330,2.0
2019,35704,2421,573,2168,43183,45351,1.8
